name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2023-10-01,79.7,54.6,66,79.7,54.6,66,56.7,74.3,0.006,100,4.17,rain,0,0,15.6,7,170.2,1023.7,46.5,11.6,39.8,3.5,3,,2023-10-01T07:49:34,2023-10-01T19:30:27,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-02,81.9,58,69.2,82.2,58,69.3,58.5,71,0,0,0,,0,0,16.3,7.5,173.6,1018.8,48.6,10.5,51.3,4.4,4,,2023-10-02T07:51:01,2023-10-02T19:28:21,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-03,71.8,58.9,65.9,71.8,58.9,65.9,55.5,69.9,0.015,100,8.33,rain,0,0,32,14.2,277.2,1020.5,71.8,13.7,54.5,4.8,4,,2023-10-03T07:52:29,2023-10-03T19:26:16,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-10-04,64.8,50.4,57.6,64.8,50.4,57.6,48.8,73.2,0,0,0,,0,0,14.7,7.7,261,1029.8,62,14,58.9,5.1,4,,2023-10-04T07:53:57,2023-10-04T19:24:10,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-10-05,67.6,51.9,58.4,67.6,51.9,58.4,49,72.1,0.001,100,4.17,rain,0,0,10.1,4.2,238.4,1027.3,82.3,13.2,41.7,3.5,3,,2023-10-05T07:55:25,2023-10-05T19:22:06,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07145099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
paris,2023-10-06,70.3,48.9,58.4,70.3,48.9,58.4,47.9,71.2,0.001,100,4.17,rain,0,0,10.7,4.6,216.2,1026.9,61.3,12.9,48,4,4,,2023-10-06T07:56:54,2023-10-06T19:20:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-07,74.9,51,62.1,74.9,51,62.1,50.9,68.6,0,0,0,,0,0,12.7,5.8,233.2,1026.8,14.8,14,43.5,3.7,4,,2023-10-07T07:58:23,2023-10-07T19:17:57,0.76,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-08,80.3,54.3,65.3,80.2,54.3,65.3,54,69.7,0,0,0,,0,0,11.2,5.8,176.2,1025.9,25.7,13.6,42.5,3.8,3,,2023-10-08T07:59:52,2023-10-08T19:15:54,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-09,78.7,56.7,66,78.7,56.7,66,52.6,65.8,0,0,0,,0,0,9,4.4,266.1,1023.4,66.8,13.5,37.8,3.3,2,,2023-10-09T08:01:21,2023-10-09T19:13:51,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-10-10,81.3,54.2,66,80.4,54.2,65.9,51.9,63.5,0,0,0,,0,0,15.8,8.2,219.5,1021.1,64.7,13.4,49,4.3,4,,2023-10-10T08:02:51,2023-10-10T19:11:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
